#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,MAX,SD,>2,>1
1,3,1,2,1,3,2,0,0,0,0,0,0,0,3,1.141138818,2,4
2,2,1,3,2,3,0,0,0,0,0,0,0,0,3,1.206666464,2,5
2,1,1,1,2,1,2,2,1,0,0,0,0,0,2,0.82874193,0,4
1,2,2,3,2,2,1,0,0,0,0,0,0,0,3,1.071611706,1,5
1,1,1,3,1,1,3,2,0,0,0,0,0,0,3,1.071611706,2,3
1,2,2,1,1,2,2,2,0,0,0,0,0,0,2,0.916874768,0,5
1,1,1,1,2,3,1,1,1,1,0,0,0,0,3,0.82874193,1,2
2,1,1,1,3,1,1,1,2,0,0,0,0,0,3,0.916874768,1,3
3,1,1,2,1,2,1,2,0,0,0,0,0,0,3,0.997248963,1,4
2,3,1,1,2,2,1,1,0,0,0,0,0,0,3,0.997248963,1,4
2,3,1,2,1,1,1,2,0,0,0,0,0,0,3,0.997248963,1,4
2,1,1,1,2,3,3,0,0,0,0,0,0,0,3,1.141138818,2,4
2,2,1,3,1,1,3,0,0,0,0,0,0,0,3,1.141138818,2,4
2,1,2,2,1,3,2,0,0,0,0,0,0,0,3,1.071611706,1,5
1,2,1,1,4,1,2,1,0,0,0,0,0,0,4,1.141138818,1,3
2,1,1,1,1,1,2,2,1,1,0,0,0,0,2,0.730045912,0,3
1,1,1,1,2,1,2,1,1,2,0,0,0,0,2,0.730045912,0,3
1,2,1,2,2,2,2,1,0,0,0,0,0,0,2,0.916874768,0,5
2,1,2,1,1,1,3,2,0,0,0,0,0,0,3,0.997248963,1,4
1,1,2,1,1,1,2,1,1,2,0,0,0,0,2,0.730045912,0,3
2,3,1,1,1,1,1,2,1,0,0,0,0,0,3,0.916874768,1,3
3,2,1,1,1,1,2,2,0,0,0,0,0,0,3,0.997248963,1,4
1,1,2,1,2,1,1,1,1,2,0,0,0,0,2,0.730045912,0,3
2,3,4,1,1,1,1,0,0,0,0,0,0,0,4,1.268814451,2,3
1,2,1,3,2,1,1,2,0,0,0,0,0,0,3,0.997248963,1,4
1,2,1,1,1,2,1,3,1,0,0,0,0,0,3,0.916874768,1,3
1,1,1,1,2,1,1,2,2,1,0,0,0,0,2,0.730045912,0,3
2,1,1,2,1,3,2,1,0,0,0,0,0,0,3,0.997248963,1,4
2,1,4,1,1,1,3,0,0,0,0,0,0,0,4,1.268814451,2,3
1,1,1,1,1,1,1,1,1,3,1,0,0,0,3,0.730045912,1,1
1,2,1,1,1,1,2,3,1,0,0,0,0,0,3,0.916874768,1,3
2,2,1,1,3,2,1,1,0,0,0,0,0,0,3,0.997248963,1,4
1,1,1,1,1,1,1,1,2,2,1,0,0,0,2,0.615727926,0,2
1,1,2,2,1,2,1,2,1,0,0,0,0,0,2,0.82874193,0,4
3,2,2,1,3,2,0,0,0,0,0,0,0,0,3,1.206666464,2,5
3,2,1,3,1,1,1,1,0,0,0,0,0,0,3,1.071611706,2,3
1,1,2,1,1,1,1,2,1,1,1,0,0,0,2,0.615727926,0,2
2,3,1,1,1,1,1,3,0,0,0,0,0,0,3,1.071611706,2,3
1,1,2,1,1,2,3,1,1,0,0,0,0,0,3,0.916874768,1,3
3,1,2,2,1,2,1,1,0,0,0,0,0,0,3,0.997248963,1,4
1,1,3,2,1,2,2,1,0,0,0,0,0,0,3,0.997248963,1,4
2,2,1,2,3,1,2,0,0,0,0,0,0,0,3,1.071611706,1,5
1,2,2,2,2,2,1,1,0,0,0,0,0,0,2,0.916874768,0,5
2,2,1,1,1,2,1,1,2,0,0,0,0,0,2,0.82874193,0,4
1,2,1,2,1,1,2,2,1,0,0,0,0,0,2,0.82874193,0,4
3,3,1,1,1,1,1,1,1,0,0,0,0,0,3,0.997248963,2,2
1,1,2,2,1,1,1,2,2,0,0,0,0,0,2,0.82874193,0,4
1,1,1,1,1,1,1,2,3,1,0,0,0,0,3,0.82874193,1,2
3,1,1,2,3,1,1,1,0,0,0,0,0,0,3,1.071611706,2,3
1,1,1,2,2,1,1,1,1,2,0,0,0,0,2,0.730045912,0,3
1,2,1,2,1,1,1,2,1,1,0,0,0,0,2,0.730045912,0,3
1,2,1,2,3,1,2,1,0,0,0,0,0,0,3,0.997248963,1,4
1,1,2,2,1,1,2,2,1,0,0,0,0,0,2,0.82874193,0,4
2,2,1,1,1,1,3,2,0,0,0,0,0,0,3,0.997248963,1,4
2,2,1,1,1,1,3,1,1,0,0,0,0,0,3,0.916874768,1,3
1,1,2,1,1,1,1,3,1,1,0,0,0,0,3,0.82874193,1,2
2,3,1,1,1,2,3,0,0,0,0,0,0,0,3,1.141138818,2,4
1,1,2,1,2,1,1,1,1,1,1,0,0,0,2,0.615727926,0,2
1,1,1,3,1,1,1,3,1,0,0,0,0,0,3,0.997248963,2,2
1,2,1,2,1,2,1,1,2,0,0,0,0,0,2,0.82874193,0,4
1,1,1,2,1,1,1,4,1,0,0,0,0,0,4,1.071611706,1,2
1,2,1,1,2,1,2,1,1,1,0,0,0,0,2,0.730045912,0,3
2,2,4,2,2,1,0,0,0,0,0,0,0,0,4,1.268814451,1,5
4,4,1,2,1,1,0,0,0,0,0,0,0,0,4,1.439245834,2,3
1,1,1,1,1,3,1,4,0,0,0,0,0,0,4,1.206666464,2,2
1,1,1,3,2,1,1,2,1,0,0,0,0,0,3,0.916874768,1,3
2,3,2,1,1,1,3,0,0,0,0,0,0,0,3,1.141138818,2,4
1,2,1,2,1,1,1,4,0,0,0,0,0,0,4,1.141138818,1,3
1,1,1,3,1,2,3,1,0,0,0,0,0,0,3,1.071611706,2,3
1,1,2,1,1,1,1,1,1,3,0,0,0,0,3,0.82874193,1,2
2,1,3,1,2,1,1,2,0,0,0,0,0,0,3,0.997248963,1,4
1,1,1,1,3,1,2,1,2,0,0,0,0,0,3,0.916874768,1,3
1,2,1,2,1,3,1,1,1,0,0,0,0,0,3,0.916874768,1,3
2,2,1,1,1,1,3,1,1,0,0,0,0,0,3,0.916874768,1,3
1,2,1,1,1,5,2,0,0,0,0,0,0,0,5,1.384768001,1,3
1,1,2,1,1,1,2,2,2,0,0,0,0,0,2,0.82874193,0,4
2,1,1,4,1,1,1,2,0,0,0,0,0,0,4,1.141138818,1,3
3,1,2,1,3,1,2,0,0,0,0,0,0,0,3,1.141138818,2,4
2,1,1,2,2,1,2,1,1,0,0,0,0,0,2,0.82874193,0,4
6,1,1,1,1,2,1,0,0,0,0,0,0,0,6,1.591529778,1,2
3,2,1,2,2,1,2,0,0,0,0,0,0,0,3,1.071611706,1,5
1,1,3,1,1,2,1,2,1,0,0,0,0,0,3,0.916874768,1,3
1,1,1,2,3,1,1,1,2,0,0,0,0,0,3,0.916874768,1,3
2,1,1,1,1,1,1,1,2,1,1,0,0,0,2,0.615727926,0,2
1,1,3,1,1,1,1,2,1,1,0,0,0,0,3,0.82874193,1,2
2,2,3,1,1,1,1,1,1,0,0,0,0,0,3,0.916874768,1,3
1,1,5,1,1,1,1,1,1,0,0,0,0,0,5,1.268814451,1,1
4,1,1,4,1,2,0,0,0,0,0,0,0,0,4,1.439245834,2,3
1,1,1,3,1,1,1,1,3,0,0,0,0,0,3,0.997248963,2,2
2,1,1,1,2,2,4,0,0,0,0,0,0,0,4,1.206666464,1,4
2,1,2,1,5,1,1,0,0,0,0,0,0,0,5,1.384768001,1,3
1,1,2,1,1,2,1,1,3,0,0,0,0,0,3,0.916874768,1,3
1,1,1,3,2,3,1,1,0,0,0,0,0,0,3,1.071611706,2,3
1,1,2,1,1,1,3,1,2,0,0,0,0,0,3,0.916874768,1,3
2,3,1,2,1,1,1,2,0,0,0,0,0,0,3,0.997248963,1,4
1,2,2,2,1,1,1,1,2,0,0,0,0,0,2,0.82874193,0,4
1,1,2,2,1,2,2,2,0,0,0,0,0,0,2,0.916874768,0,5
5,1,2,2,2,1,0,0,0,0,0,0,0,0,5,1.439245834,1,4
4,1,1,1,1,4,1,0,0,0,0,0,0,0,4,1.384768001,2,2
1,1,1,1,1,1,2,2,1,2,0,0,0,0,2,0.730045912,0,3
2,2,3,2,1,3,0,0,0,0,0,0,0,0,3,1.206666464,2,5
3,2,1,2,1,1,2,1,0,0,0,0,0,0,3,0.997248963,1,4
1,1,2,1,1,1,1,2,3,0,0,0,0,0,3,0.916874768,1,3
2,1,2,3,2,1,1,1,0,0,0,0,0,0,3,0.997248963,1,4
2,1,1,2,1,1,1,2,1,1,0,0,0,0,2,0.730045912,0,3
2,2,2,2,2,3,0,0,0,0,0,0,0,0,3,1.141138818,1,6
2,3,1,3,1,1,2,0,0,0,0,0,0,0,3,1.141138818,2,4
1,1,1,2,2,1,2,1,2,0,0,0,0,0,2,0.82874193,0,4
1,1,2,1,2,2,1,1,2,0,0,0,0,0,2,0.82874193,0,4
1,1,1,2,1,2,3,2,0,0,0,0,0,0,3,0.997248963,1,4
2,1,1,1,3,1,2,2,0,0,0,0,0,0,3,0.997248963,1,4
1,1,1,1,3,2,2,1,1,0,0,0,0,0,3,0.916874768,1,3
2,1,1,2,1,2,1,1,2,0,0,0,0,0,2,0.82874193,0,4
1,1,2,2,1,1,1,2,2,0,0,0,0,0,2,0.82874193,0,4
2,3,2,1,1,1,1,1,1,0,0,0,0,0,3,0.916874768,1,3
2,2,1,1,2,2,1,1,1,0,0,0,0,0,2,0.82874193,0,4
2,1,1,2,1,2,3,1,0,0,0,0,0,0,3,0.997248963,1,4
1,2,2,2,1,2,1,1,1,0,0,0,0,0,2,0.82874193,0,4
1,2,1,1,1,1,1,4,1,0,0,0,0,0,4,1.071611706,1,2
2,1,2,1,1,3,1,1,1,0,0,0,0,0,3,0.916874768,1,3
1,1,1,1,1,1,2,3,1,1,0,0,0,0,3,0.82874193,1,2
1,1,1,2,1,1,3,1,2,0,0,0,0,0,3,0.916874768,1,3
1,1,1,1,1,3,1,2,1,1,0,0,0,0,3,0.82874193,1,2
1,1,3,1,3,4,0,0,0,0,0,0,0,0,4,1.384768001,3,3
4,1,1,2,3,2,0,0,0,0,0,0,0,0,4,1.328057327,2,4
2,1,1,1,3,1,2,1,1,0,0,0,0,0,3,0.916874768,1,3
1,2,1,1,3,1,2,2,0,0,0,0,0,0,3,0.997248963,1,4
1,1,1,1,1,1,3,3,1,0,0,0,0,0,3,0.997248963,2,2
2,1,4,2,2,1,1,0,0,0,0,0,0,0,4,1.206666464,1,4
1,1,2,1,1,1,4,2,0,0,0,0,0,0,4,1.141138818,1,3
1,1,2,1,2,1,3,2,0,0,0,0,0,0,3,0.997248963,1,4
2,1,1,2,1,4,1,1,0,0,0,0,0,0,4,1.141138818,1,3
2,1,1,4,1,1,2,1,0,0,0,0,0,0,4,1.141138818,1,3
2,2,1,1,3,1,1,1,1,0,0,0,0,0,3,0.916874768,1,3
2,1,2,3,1,1,2,1,0,0,0,0,0,0,3,0.997248963,1,4
2,1,1,2,2,1,1,1,1,1,0,0,0,0,2,0.730045912,0,3
1,1,1,1,1,3,3,1,1,0,0,0,0,0,3,0.997248963,2,2
2,1,2,1,2,1,1,3,0,0,0,0,0,0,3,0.997248963,1,4
2,2,1,2,1,1,2,1,1,0,0,0,0,0,2,0.82874193,0,4
1,2,1,1,1,2,2,1,1,1,0,0,0,0,2,0.730045912,0,3
2,3,1,2,2,1,1,1,0,0,0,0,0,0,3,0.997248963,1,4
2,1,1,1,2,1,2,2,1,0,0,0,0,0,2,0.82874193,0,4
2,3,1,1,1,2,1,2,0,0,0,0,0,0,3,0.997248963,1,4
1,1,1,3,1,2,3,1,0,0,0,0,0,0,3,1.071611706,2,3
1,3,1,1,2,1,2,2,0,0,0,0,0,0,3,0.997248963,1,4
2,2,1,1,3,2,1,1,0,0,0,0,0,0,3,0.997248963,1,4
1,1,1,3,1,1,2,3,0,0,0,0,0,0,3,1.071611706,2,3
2,2,1,1,2,2,1,2,0,0,0,0,0,0,2,0.916874768,0,5
3,1,2,2,1,1,1,2,0,0,0,0,0,0,3,0.997248963,1,4
1,3,1,2,1,1,1,1,2,0,0,0,0,0,3,0.916874768,1,3
2,3,1,1,2,1,3,0,0,0,0,0,0,0,3,1.141138818,2,4
3,3,1,1,1,1,2,1,0,0,0,0,0,0,3,1.071611706,2,3
1,2,1,1,1,1,2,3,1,0,0,0,0,0,3,0.916874768,1,3
2,1,1,1,3,3,2,0,0,0,0,0,0,0,3,1.141138818,2,4
3,3,1,1,1,1,2,1,0,0,0,0,0,0,3,1.071611706,2,3
1,1,2,2,1,1,3,2,0,0,0,0,0,0,3,0.997248963,1,4
1,1,1,1,1,2,3,1,2,0,0,0,0,0,3,0.916874768,1,3
1,1,2,1,1,1,1,1,4,0,0,0,0,0,4,1.071611706,1,2
1,3,2,1,2,2,1,1,0,0,0,0,0,0,3,0.997248963,1,4
1,1,2,3,2,2,2,0,0,0,0,0,0,0,3,1.071611706,1,5
1,1,1,1,1,2,3,2,1,0,0,0,0,0,3,0.916874768,1,3
1,4,2,2,2,1,1,0,0,0,0,0,0,0,4,1.206666464,1,4
2,1,1,2,3,1,1,1,1,0,0,0,0,0,3,0.916874768,1,3
1,1,1,2,1,2,2,3,0,0,0,0,0,0,3,0.997248963,1,4
1,1,2,3,1,1,1,2,1,0,0,0,0,0,3,0.916874768,1,3
1,1,1,1,1,1,1,1,4,1,0,0,0,0,4,0.997248963,1,1
1,2,2,1,2,2,1,1,1,0,0,0,0,0,2,0.82874193,0,4
2,1,1,1,2,1,2,2,1,0,0,0,0,0,2,0.82874193,0,4
2,2,1,1,1,2,1,1,2,0,0,0,0,0,2,0.82874193,0,4
1,2,1,1,2,1,3,2,0,0,0,0,0,0,3,0.997248963,1,4
2,3,1,2,1,1,1,1,1,0,0,0,0,0,3,0.916874768,1,3
1,1,1,1,2,3,1,3,0,0,0,0,0,0,3,1.071611706,2,3
2,2,1,1,2,2,1,2,0,0,0,0,0,0,2,0.916874768,0,5
1,1,1,1,3,1,1,3,1,0,0,0,0,0,3,0.997248963,2,2
1,2,2,1,1,1,2,1,1,1,0,0,0,0,2,0.730045912,0,3
1,1,1,1,1,2,2,1,1,2,0,0,0,0,2,0.730045912,0,3
1,1,1,4,1,3,1,1,0,0,0,0,0,0,4,1.206666464,2,2
1,1,2,2,2,1,1,1,1,1,0,0,0,0,2,0.730045912,0,3
1,1,1,2,1,1,2,2,2,0,0,0,0,0,2,0.82874193,0,4
3,1,1,2,2,2,1,1,0,0,0,0,0,0,3,0.997248963,1,4
1,1,1,1,1,3,1,3,1,0,0,0,0,0,3,0.997248963,2,2
1,1,1,1,1,2,2,1,1,1,1,0,0,0,2,0.615727926,0,2
1,3,1,2,2,2,2,0,0,0,0,0,0,0,3,1.071611706,1,5
2,2,1,2,2,2,2,0,0,0,0,0,0,0,2,0.997248963,0,6
1,2,1,2,1,1,1,4,0,0,0,0,0,0,4,1.141138818,1,3
1,2,1,1,1,1,2,2,1,1,0,0,0,0,2,0.730045912,0,3
1,2,1,1,1,1,4,1,1,0,0,0,0,0,4,1.071611706,1,2
2,1,2,3,1,1,1,1,1,0,0,0,0,0,3,0.916874768,1,3
2,1,3,1,3,2,1,0,0,0,0,0,0,0,3,1.141138818,2,4
3,2,1,1,3,1,1,1,0,0,0,0,0,0,3,1.071611706,2,3
1,1,1,1,3,1,1,2,2,0,0,0,0,0,3,0.916874768,1,3
3,1,2,1,1,1,1,1,2,0,0,0,0,0,3,0.916874768,1,3
1,1,1,4,3,1,1,1,0,0,0,0,0,0,4,1.206666464,2,2
3,1,1,1,2,1,1,1,1,1,0,0,0,0,3,0.82874193,1,2
1,2,1,1,4,3,1,0,0,0,0,0,0,0,4,1.268814451,2,3
2,2,1,2,1,1,1,1,1,1,0,0,0,0,2,0.730045912,0,3
2,1,2,4,1,1,2,0,0,0,0,0,0,0,4,1.206666464,1,4
2,1,2,1,1,1,1,2,2,0,0,0,0,0,2,0.82874193,0,4
3,1,4,4,1,0,0,0,0,0,0,0,0,0,4,1.542439911,3,3
1,2,2,2,2,2,1,1,0,0,0,0,0,0,2,0.916874768,0,5
1,1,2,1,2,2,1,2,1,0,0,0,0,0,2,0.82874193,0,4
1,1,4,1,1,2,2,1,0,0,0,0,0,0,4,1.141138818,1,3
1,1,1,1,1,3,1,2,2,0,0,0,0,0,3,0.916874768,1,3
2,1,6,2,2,0,0,0,0,0,0,0,0,0,6,1.685425567,1,4
1,1,1,2,1,1,1,3,2,0,0,0,0,0,3,0.916874768,1,3
1,1,2,1,1,1,2,1,3,0,0,0,0,0,3,0.916874768,1,3
2,1,1,2,1,1,3,1,1,0,0,0,0,0,3,0.916874768,1,3
1,1,1,1,1,2,1,1,1,1,2,0,0,0,2,0.615727926,0,2
2,1,2,1,2,2,2,1,0,0,0,0,0,0,2,0.916874768,0,5
2,1,2,2,1,1,2,1,1,0,0,0,0,0,2,0.82874193,0,4
1,1,1,2,1,3,2,1,1,0,0,0,0,0,3,0.916874768,1,3
3,2,1,1,1,2,1,1,1,0,0,0,0,0,3,0.916874768,1,3
1,2,1,2,2,2,1,1,1,0,0,0,0,0,2,0.82874193,0,4
2,2,1,2,3,2,1,0,0,0,0,0,0,0,3,1.071611706,1,5
1,1,1,1,2,1,1,1,2,1,1,0,0,0,2,0.615727926,0,2
2,1,1,3,1,1,3,1,0,0,0,0,0,0,3,1.071611706,2,3
1,3,1,2,1,1,2,1,1,0,0,0,0,0,3,0.916874768,1,3
1,2,1,1,1,1,1,3,1,1,0,0,0,0,3,0.82874193,1,2
1,1,1,1,1,1,1,2,4,0,0,0,0,0,4,1.071611706,1,2
1,1,3,2,2,1,2,1,0,0,0,0,0,0,3,0.997248963,1,4
2,1,1,2,1,2,1,3,0,0,0,0,0,0,3,0.997248963,1,4
2,1,1,1,1,1,2,1,1,2,0,0,0,0,2,0.730045912,0,3
1,1,2,1,1,1,1,2,1,2,0,0,0,0,2,0.730045912,0,3
1,6,1,1,2,1,1,0,0,0,0,0,0,0,6,1.591529778,1,2
1,1,1,1,1,1,1,2,2,2,0,0,0,0,2,0.730045912,0,3
1,2,1,3,3,2,1,0,0,0,0,0,0,0,3,1.141138818,2,4
2,1,2,2,1,1,3,1,0,0,0,0,0,0,3,0.997248963,1,4
2,1,2,1,1,2,1,2,1,0,0,0,0,0,2,0.82874193,0,4
1,1,1,1,2,1,2,2,1,1,0,0,0,0,2,0.730045912,0,3
2,1,2,1,2,2,3,0,0,0,0,0,0,0,3,1.071611706,1,5
2,1,1,2,1,2,2,1,1,0,0,0,0,0,2,0.82874193,0,4
2,2,2,1,1,1,1,2,1,0,0,0,0,0,2,0.82874193,0,4
1,1,1,3,3,1,1,2,0,0,0,0,0,0,3,1.071611706,2,3
1,2,2,3,1,1,1,2,0,0,0,0,0,0,3,0.997248963,1,4
1,2,2,1,1,1,1,2,2,0,0,0,0,0,2,0.82874193,0,4
3,2,1,1,1,2,2,1,0,0,0,0,0,0,3,0.997248963,1,4
1,2,1,1,1,1,2,1,2,1,0,0,0,0,2,0.730045912,0,3
1,3,1,3,1,1,1,2,0,0,0,0,0,0,3,1.071611706,2,3
1,1,2,1,1,3,1,3,0,0,0,0,0,0,3,1.071611706,2,3
1,1,2,1,1,2,1,1,1,2,0,0,0,0,2,0.730045912,0,3
2,1,2,2,1,1,1,1,1,1,0,0,0,0,2,0.730045912,0,3
3,2,2,1,2,1,2,0,0,0,0,0,0,0,3,1.071611706,1,5
1,1,1,1,2,1,3,2,1,0,0,0,0,0,3,0.916874768,1,3
1,2,3,1,1,2,1,1,1,0,0,0,0,0,3,0.916874768,1,3
2,2,1,1,4,1,1,1,0,0,0,0,0,0,4,1.141138818,1,3
1,1,3,1,1,1,2,2,1,0,0,0,0,0,3,0.916874768,1,3
1,2,2,1,2,1,1,1,2,0,0,0,0,0,2,0.82874193,0,4
1,1,2,1,2,2,2,1,1,0,0,0,0,0,2,0.82874193,0,4
2,1,3,2,2,1,1,1,0,0,0,0,0,0,3,0.997248963,1,4
2,2,1,2,1,2,1,2,0,0,0,0,0,0,2,0.916874768,0,5
2,2,2,2,2,1,1,1,0,0,0,0,0,0,2,0.916874768,0,5
1,1,2,1,1,1,1,1,2,2,0,0,0,0,2,0.730045912,0,3
2,2,1,1,1,2,2,1,1,0,0,0,0,0,2,0.82874193,0,4
2,1,1,1,1,1,1,2,3,0,0,0,0,0,3,0.916874768,1,3
1,2,2,3,1,1,1,2,0,0,0,0,0,0,3,0.997248963,1,4
1,3,3,1,1,1,2,1,0,0,0,0,0,0,3,1.071611706,2,3
1,1,1,1,3,1,2,3,0,0,0,0,0,0,3,1.071611706,2,3
2,1,2,1,1,2,1,3,0,0,0,0,0,0,3,0.997248963,1,4
1,1,2,2,1,1,2,1,1,1,0,0,0,0,2,0.730045912,0,3
2,1,1,1,1,1,1,1,1,3,0,0,0,0,3,0.82874193,1,2
2,1,2,3,3,1,1,0,0,0,0,0,0,0,3,1.141138818,2,4
1,4,1,1,1,1,1,2,1,0,0,0,0,0,4,1.071611706,1,2
1,1,1,1,2,1,3,3,0,0,0,0,0,0,3,1.071611706,2,3
1,2,1,1,2,2,3,1,0,0,0,0,0,0,3,0.997248963,1,4
2,1,1,1,2,2,1,1,2,0,0,0,0,0,2,0.82874193,0,4
1,1,1,2,2,1,2,1,1,1,0,0,0,0,2,0.730045912,0,3
2,3,1,3,3,1,0,0,0,0,0,0,0,0,3,1.268814451,3,4
1,2,2,1,1,1,2,2,1,0,0,0,0,0,2,0.82874193,0,4
2,1,1,1,1,2,2,1,1,1,0,0,0,0,2,0.730045912,0,3
2,1,1,1,2,1,1,2,2,0,0,0,0,0,2,0.82874193,0,4
2,1,1,3,2,1,1,2,0,0,0,0,0,0,3,0.997248963,1,4
1,1,1,1,2,1,2,1,1,1,1,0,0,0,2,0.615727926,0,2
1,1,1,2,1,1,1,1,1,1,2,0,0,0,2,0.615727926,0,2
2,2,1,2,2,2,1,1,0,0,0,0,0,0,2,0.916874768,0,5
1,1,2,2,2,3,2,0,0,0,0,0,0,0,3,1.071611706,1,5
1,1,1,1,2,1,3,1,2,0,0,0,0,0,3,0.916874768,1,3
1,1,1,1,2,1,3,1,2,0,0,0,0,0,3,0.916874768,1,3
4,1,2,2,1,1,1,1,0,0,0,0,0,0,4,1.141138818,1,3
1,2,1,1,1,2,1,1,1,2,0,0,0,0,2,0.730045912,0,3
1,3,2,1,3,1,1,1,0,0,0,0,0,0,3,1.071611706,2,3
2,1,2,2,1,2,3,0,0,0,0,0,0,0,3,1.071611706,1,5
2,2,2,1,1,1,1,2,1,0,0,0,0,0,2,0.82874193,0,4
1,1,1,1,2,1,1,1,1,3,0,0,0,0,3,0.82874193,1,2
1,2,2,1,1,1,1,1,1,2,0,0,0,0,2,0.730045912,0,3
2,1,1,1,1,2,1,1,3,0,0,0,0,0,3,0.916874768,1,3
1,4,2,1,1,1,1,2,0,0,0,0,0,0,4,1.141138818,1,3
1,2,1,1,2,2,2,2,0,0,0,0,0,0,2,0.916874768,0,5
2,1,1,1,2,1,4,1,0,0,0,0,0,0,4,1.141138818,1,3
1,1,1,1,1,1,3,2,1,1,0,0,0,0,3,0.82874193,1,2
1,2,2,1,1,1,2,1,2,0,0,0,0,0,2,0.82874193,0,4
2,1,1,2,2,1,1,1,1,1,0,0,0,0,2,0.730045912,0,3
2,1,2,1,1,1,3,1,1,0,0,0,0,0,3,0.916874768,1,3
2,1,1,2,1,1,2,1,1,1,0,0,0,0,2,0.730045912,0,3
1,4,1,2,1,3,1,0,0,0,0,0,0,0,4,1.268814451,2,3
1,1,2,2,4,1,1,1,0,0,0,0,0,0,4,1.141138818,1,3
1,2,2,1,2,3,1,1,0,0,0,0,0,0,3,0.997248963,1,4
1,3,1,2,2,2,2,0,0,0,0,0,0,0,3,1.071611706,1,5
2,3,2,1,1,2,2,0,0,0,0,0,0,0,3,1.071611706,1,5
1,1,1,1,1,2,1,1,1,3,0,0,0,0,3,0.82874193,1,2
1,1,2,2,1,1,2,1,1,1,0,0,0,0,2,0.730045912,0,3
1,2,2,1,1,1,1,4,0,0,0,0,0,0,4,1.141138818,1,3
2,1,1,2,1,1,1,3,1,0,0,0,0,0,3,0.916874768,1,3
2,2,1,3,2,2,1,0,0,0,0,0,0,0,3,1.071611706,1,5
1,1,2,1,1,1,3,1,2,0,0,0,0,0,3,0.916874768,1,3
1,1,1,4,1,1,2,2,0,0,0,0,0,0,4,1.141138818,1,3
2,1,1,1,2,1,2,1,1,1,0,0,0,0,2,0.730045912,0,3
2,1,2,2,1,1,1,1,1,1,0,0,0,0,2,0.730045912,0,3
2,1,1,1,2,3,2,1,0,0,0,0,0,0,3,0.997248963,1,4
2,1,1,2,2,1,1,1,1,1,0,0,0,0,2,0.730045912,0,3
1,1,3,1,3,2,2,0,0,0,0,0,0,0,3,1.141138818,2,4
1,2,3,1,1,1,1,1,1,1,0,0,0,0,3,0.82874193,1,2
